"04-08-2010 22:57:08","http://www.arnoldanddistrictcameraclub.org.uk/","index.php","","","74.53.193.66","Pingdom.com_bot_version_1.4_(http://www.pingdom.com/)"
"04-08-2010 23:00:07","http://www.arnoldanddistrictcameraclub.org.uk/","index.php","","","86.0.167.219","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; GTB6; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; eSobiSubscriber 2.0.4.16; .NET CLR 3.5.30729; InfoPath.2; .NET CLR 3.0.30729; WinTSI 25.10.2009; OfficeLiveConnector.1.5; OfficeLivePatch.1.3; .NET4.0C; msn OptimizedIE8;ENGB)"
"04-08-2010 23:00:31","http://www.arnoldanddistrictcameraclub.org.uk/gall/","index.php","http://www.arnoldanddistrictcameraclub.org.uk/","","86.0.167.219","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; GTB6; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; eSobiSubscriber 2.0.4.16; .NET CLR 3.5.30729; InfoPath.2; .NET CLR 3.0.30729; WinTSI 25.10.2009; OfficeLiveConnector.1.5; OfficeLivePatch.1.3; .NET4.0C; msn OptimizedIE8;ENGB)"
"04-08-2010 23:00:39","http://www.arnoldanddistrictcameraclub.org.uk/gall/1/charlesd/","view.php","http://www.arnoldanddistrictcameraclub.org.uk/gall/","","86.0.167.219","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; GTB6; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; eSobiSubscriber 2.0.4.16; .NET CLR 3.5.30729; InfoPath.2; .NET CLR 3.0.30729; WinTSI 25.10.2009; OfficeLiveConnector.1.5; OfficeLivePatch.1.3; .NET4.0C; msn OptimizedIE8;ENGB)"
"04-08-2010 23:00:46","http://www.arnoldanddistrictcameraclub.org.uk/image/charlesd/750/","viewpic.php","http://www.arnoldanddistrictcameraclub.org.uk/gall/1/charlesd/","","86.0.167.219","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; GTB6; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; eSobiSubscriber 2.0.4.16; .NET CLR 3.5.30729; InfoPath.2; .NET CLR 3.0.30729; WinTSI 25.10.2009; OfficeLiveConnector.1.5; OfficeLivePatch.1.3; .NET4.0C; msn OptimizedIE8;ENGB)"
"04-08-2010 23:00:56","http://www.arnoldanddistrictcameraclub.org.uk/gall/1/charlesd/","view.php","http://www.arnoldanddistrictcameraclub.org.uk/gall/","","86.0.167.219","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; GTB6; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; eSobiSubscriber 2.0.4.16; .NET CLR 3.5.30729; InfoPath.2; .NET CLR 3.0.30729; WinTSI 25.10.2009; OfficeLiveConnector.1.5; OfficeLivePatch.1.3; .NET4.0C; msn OptimizedIE8;ENGB)"
"04-08-2010 23:01:00","http://www.arnoldanddistrictcameraclub.org.uk/image/charlesd/749/","viewpic.php","http://www.arnoldanddistrictcameraclub.org.uk/gall/1/charlesd/","","86.0.167.219","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; GTB6; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; eSobiSubscriber 2.0.4.16; .NET CLR 3.5.30729; InfoPath.2; .NET CLR 3.0.30729; WinTSI 25.10.2009; OfficeLiveConnector.1.5; OfficeLivePatch.1.3; .NET4.0C; msn OptimizedIE8;ENGB)"
"04-08-2010 23:01:08","http://www.arnoldanddistrictcameraclub.org.uk/gall/1/charlesd/","view.php","http://www.arnoldanddistrictcameraclub.org.uk/gall/","","86.0.167.219","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; GTB6; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; eSobiSubscriber 2.0.4.16; .NET CLR 3.5.30729; InfoPath.2; .NET CLR 3.0.30729; WinTSI 25.10.2009; OfficeLiveConnector.1.5; OfficeLivePatch.1.3; .NET4.0C; msn OptimizedIE8;ENGB)"
"04-08-2010 23:01:09","http://www.arnoldanddistrictcameraclub.org.uk/gall/","index.php","http://www.arnoldanddistrictcameraclub.org.uk/","","86.0.167.219","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; GTB6; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; eSobiSubscriber 2.0.4.16; .NET CLR 3.5.30729; InfoPath.2; .NET CLR 3.0.30729; WinTSI 25.10.2009; OfficeLiveConnector.1.5; OfficeLivePatch.1.3; .NET4.0C; msn OptimizedIE8;ENGB)"
"04-08-2010 23:01:43","http://www.arnoldanddistrictcameraclub.org.uk/","index.php","","","82.20.210.153","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
"04-08-2010 23:02:01","http://www.arnoldanddistrictcameraclub.org.uk/news/","index.php","http://www.arnoldanddistrictcameraclub.org.uk/","","82.20.210.153","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
"04-08-2010 23:02:08","http://www.arnoldanddistrictcameraclub.org.uk/","index.php","","","74.52.50.50","Pingdom.com_bot_version_1.4_(http://www.pingdom.com/)"
"04-08-2010 23:02:18","http://www.arnoldanddistrictcameraclub.org.uk/gall/1/sarahd/","view.php","http://www.arnoldanddistrictcameraclub.org.uk/","","82.20.210.153","Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.8) Gecko/20100722 Firefox/3.6.8"
"04-08-2010 23:02:23","http://www.arnoldanddistrictcameraclub.org.uk/news/136/","index.php","","","67.195.115.37","Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
"04-08-2010 23:07:08","http://www.arnoldanddistrictcameraclub.org.uk/","index.php","","","83.170.113.102","Pingdom.com_bot_version_1.4_(http://www.pingdom.com/)"
"04-08-2010 23:11:31","http://www.arnoldanddistrictcameraclub.org.uk/image/ivans/188/","viewpic.php","","","67.195.115.37","Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
"04-08-2010 23:12:08","http://www.arnoldanddistrictcameraclub.org.uk/","index.php","","","95.211.87.85","Pingdom.com_bot_version_1.4_(http://www.pingdom.com/)"
"04-08-2010 23:13:23","http://www.arnoldanddistrictcameraclub.org.uk/","index.php","","","82.26.57.159","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)"
"04-08-2010 23:14:30","http://www.arnoldanddistrictcameraclub.org.uk/gall/viewimagetag.php?tag=Southwell%2C+minster%2C+church%2C+cathedral%2C+interior","viewimagetag.php","","","207.46.204.182","msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
"04-08-2010 23:17:08","http://www.arnoldanddistrictcameraclub.org.uk/","index.php","","","207.218.231.170","Pingdom.com_bot_version_1.4_(http://www.pingdom.com/)"
"04-08-2010 23:18:39","http://www.arnoldanddistrictcameraclub.org.uk/gall/1/sarahd/","view.php","","","67.195.115.37","Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
"04-08-2010 23:19:11","http://www.arnoldanddistrictcameraclub.org.uk/image/sarahd/770/","viewpic.php","","","67.195.115.37","Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
"04-08-2010 23:19:11","http://www.arnoldanddistrictcameraclub.org.uk/image/sarahd/768/","viewpic.php","","","67.195.115.37","Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
"04-08-2010 23:19:14","http://www.arnoldanddistrictcameraclub.org.uk/image/sarahd/771/","viewpic.php","","","67.195.115.37","Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
"04-08-2010 23:19:57","http://www.arnoldanddistrictcameraclub.org.uk/image/sarahd/772/","viewpic.php","","","67.195.115.37","Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
"04-08-2010 23:22:08","http://www.arnoldanddistrictcameraclub.org.uk/","index.php","","","207.97.207.200","Pingdom.com_bot_version_1.4_(http://www.pingdom.com/)"
"04-08-2010 23:23:42","http://www.arnoldanddistrictcameraclub.org.uk/image/sarahd/769/","viewpic.php","","","67.195.115.37","Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
"04-08-2010 23:25:03","http://www.arnoldanddistrictcameraclub.org.uk/committee/","index.php","","","207.46.199.238","msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)"
"04-08-2010 23:27:14","http://www.arnoldanddistrictcameraclub.org.uk/","index.php","","","67.192.120.134","Pingdom.com_bot_version_1.4_(http://www.pingdom.com/)"
"04-08-2010 23:32:08","http://www.arnoldanddistrictcameraclub.org.uk/","index.php","","","78.136.27.223","Pingdom.com_bot_version_1.4_(http://www.pingdom.com/)"
"04-08-2010 23:35:29","http://www.arnoldanddistrictcameraclub.org.uk/image/sarahd/773/","viewpic.php","","","67.195.115.37","Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
"04-08-2010 23:36:33","http://www.arnoldanddistrictcameraclub.org.uk/image/barryw/678/","viewpic.php","","","67.195.115.37","Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)"
