27-07-2010 21:01:41,http://www.arnoldanddistrictcameraclub.org.uk/news/132/07-21-2010/,index.php,,,66.249.65.180,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
27-07-2010 21:02:08,http://www.arnoldanddistrictcameraclub.org.uk/,index.php,,,95.211.87.85,Pingdom.com_bot_version_1.4_(http://www.pingdom.com/)
27-07-2010 21:02:44,http://www.arnoldanddistrictcameraclub.org.uk/image/carnival06/257/,viewpic.php,,,67.195.115.37,Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)
27-07-2010 21:05:21,http://www.arnoldanddistrictcameraclub.org.uk/,index.php,,,68.142.243.85,
27-07-2010 21:05:22,http://www.arnoldanddistrictcameraclub.org.uk/image/philh/302/,viewpic.php,http://www.arnoldanddistrictcameraclub.org.uk/gall/17/philh/,,82.94.176.140,Mozilla/4.0 (compatible;  Vagabondo/4.0; webcrawler at wise-guys dot nl; http://webagent.wise-guys.nl/; http://www.wise-guys.nl/)
27-07-2010 21:06:40,http://www.arnoldanddistrictcameraclub.org.uk/image/keithh/118/,viewpic.php,http://www.arnoldanddistrictcameraclub.org.uk/gall/9/keithh/,,82.94.176.140,Mozilla/4.0 (compatible;  Vagabondo/4.0; webcrawler at wise-guys dot nl; http://webagent.wise-guys.nl/; http://www.wise-guys.nl/)
27-07-2010 21:07:08,http://www.arnoldanddistrictcameraclub.org.uk/,index.php,,,207.218.231.170,Pingdom.com_bot_version_1.4_(http://www.pingdom.com/)
27-07-2010 21:07:22,http://www.arnoldanddistrictcameraclub.org.uk/image/sarahd/383/,viewpic.php,,,67.195.115.37,Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)
27-07-2010 21:07:57,http://www.arnoldanddistrictcameraclub.org.uk/image/keithh/119/,viewpic.php,http://www.arnoldanddistrictcameraclub.org.uk/gall/9/keithh/,,82.94.176.140,Mozilla/4.0 (compatible;  Vagabondo/4.0; webcrawler at wise-guys dot nl; http://webagent.wise-guys.nl/; http://www.wise-guys.nl/)
27-07-2010 21:09:14,http://www.arnoldanddistrictcameraclub.org.uk/image/gregf/575/,viewpic.php,http://www.arnoldanddistrictcameraclub.org.uk/gall/9/gregf/,,82.94.176.140,Mozilla/4.0 (compatible;  Vagabondo/4.0; webcrawler at wise-guys dot nl; http://webagent.wise-guys.nl/; http://www.wise-guys.nl/)
27-07-2010 21:10:29,http://www.arnoldanddistrictcameraclub.org.uk/image/philh/45/,viewpic.php,http://www.arnoldanddistrictcameraclub.org.uk/gall/17/philh/,,82.94.176.140,Mozilla/4.0 (compatible;  Vagabondo/4.0; webcrawler at wise-guys dot nl; http://webagent.wise-guys.nl/; http://www.wise-guys.nl/)
27-07-2010 21:10:31,http://www.arnoldanddistrictcameraclub.org.uk/gall/1/charlesd/,view.php,,,67.195.115.37,Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)
27-07-2010 21:11:48,http://www.arnoldanddistrictcameraclub.org.uk/image/philh/281/,viewpic.php,http://www.arnoldanddistrictcameraclub.org.uk/gall/17/philh/,,82.94.176.140,Mozilla/4.0 (compatible;  Vagabondo/4.0; webcrawler at wise-guys dot nl; http://webagent.wise-guys.nl/; http://www.wise-guys.nl/)
27-07-2010 21:12:10,http://www.arnoldanddistrictcameraclub.org.uk/,index.php,,,207.97.207.200,Pingdom.com_bot_version_1.4_(http://www.pingdom.com/)
27-07-2010 21:13:03,http://www.arnoldanddistrictcameraclub.org.uk/image/keithh/120/,viewpic.php,http://www.arnoldanddistrictcameraclub.org.uk/gall/9/keithh/,,82.94.176.140,Mozilla/4.0 (compatible;  Vagabondo/4.0; webcrawler at wise-guys dot nl; http://webagent.wise-guys.nl/; http://www.wise-guys.nl/)
27-07-2010 21:14:01,http://www.arnoldanddistrictcameraclub.org.uk/gall/viewimagetag.php?tag=Spill,viewimagetag.php,,,207.46.13.133,msnbot/2.0b (+http://search.msn.com/msnbot.htm)
27-07-2010 21:14:18,http://www.arnoldanddistrictcameraclub.org.uk/image/philh/280/,viewpic.php,http://www.arnoldanddistrictcameraclub.org.uk/gall/17/philh/,,82.94.176.140,Mozilla/4.0 (compatible;  Vagabondo/4.0; webcrawler at wise-guys dot nl; http://webagent.wise-guys.nl/; http://www.wise-guys.nl/)
27-07-2010 21:15:36,http://www.arnoldanddistrictcameraclub.org.uk/image/gregf/9/,viewpic.php,http://www.arnoldanddistrictcameraclub.org.uk/gall/17/gregf/,,82.94.176.140,Mozilla/4.0 (compatible;  Vagabondo/4.0; webcrawler at wise-guys dot nl; http://webagent.wise-guys.nl/; http://www.wise-guys.nl/)
27-07-2010 21:16:10,http://www.arnoldanddistrictcameraclub.org.uk/gall/1/carnival06/,view.php,,,207.46.13.44,msnbot/2.0b (+http://search.msn.com/msnbot.htm)
27-07-2010 21:16:51,http://www.arnoldanddistrictcameraclub.org.uk/image/gregf/573/,viewpic.php,http://www.arnoldanddistrictcameraclub.org.uk/gall/9/gregf/,,82.94.176.140,Mozilla/4.0 (compatible;  Vagabondo/4.0; webcrawler at wise-guys dot nl; http://webagent.wise-guys.nl/; http://www.wise-guys.nl/)
27-07-2010 21:17:08,http://www.arnoldanddistrictcameraclub.org.uk/,index.php,,,67.192.120.134,Pingdom.com_bot_version_1.4_(http://www.pingdom.com/)
27-07-2010 21:18:06,http://www.arnoldanddistrictcameraclub.org.uk/image/keithh/121/,viewpic.php,http://www.arnoldanddistrictcameraclub.org.uk/gall/9/keithh/,,82.94.176.140,Mozilla/4.0 (compatible;  Vagabondo/4.0; webcrawler at wise-guys dot nl; http://webagent.wise-guys.nl/; http://www.wise-guys.nl/)
27-07-2010 21:19:12,http://www.arnoldanddistrictcameraclub.org.uk/image/carnival08/451/,viewpic.php,,,67.195.115.37,Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)
27-07-2010 21:19:21,http://www.arnoldanddistrictcameraclub.org.uk/image/philh/40/,viewpic.php,http://www.arnoldanddistrictcameraclub.org.uk/gall/9/philh/,,82.94.176.140,Mozilla/4.0 (compatible;  Vagabondo/4.0; webcrawler at wise-guys dot nl; http://webagent.wise-guys.nl/; http://www.wise-guys.nl/)
