date,1024x768,1280x1024,1280x800,1680x1050,800x600,1440x900,1152x864
2007-03-12,5,1,1,1,0,0,0
2007-03-13,2,0,0,2,0,0,0
2007-03-14,4,1,1,0,0,0,0
2007-03-15,2,0,0,1,0,0,0
2007-03-16,5,0,1,0,0,0,0
2007-03-17,5,0,0,1,0,0,0
2007-03-18,8,5,1,1,0,0,0
2007-03-19,5,0,3,0,0,0,0
2007-03-20,5,0,0,1,0,0,0
2007-03-21,5,1,0,0,0,0,0
2007-03-22,3,2,0,0,0,0,0
2007-03-23,2,1,0,1,0,0,2
2007-03-24,1,2,1,0,0,0,0
2007-03-25,5,2,1,0,0,0,0
2007-03-26,1,2,1,0,0,0,0
2007-03-27,4,0,1,0,1,0,1
2007-03-28,2,2,0,1,0,0,0
2007-03-29,3,0,1,1,1,0,0
2007-03-30,4,2,1,0,0,1,0
2007-03-31,2,1,0,1,0,0,0
2007-04-01,1,2,0,0,0,0,0
2007-04-02,0,0,0,0,0,0,0
2007-04-03,1,0,0,0,0,0,0
2007-04-04,3,1,0,1,0,0,0
2007-04-05,0,0,0,1,0,0,0
2007-04-06,0,0,0,0,0,0,0
2007-04-07,2,1,0,0,0,0,0
2007-04-08,3,2,1,1,0,0,0
2007-04-09,4,4,0,0,0,0,0
2007-04-10,1,2,0,1,0,1,0
2007-04-11,0,1,0,1,0,0,0
2007-04-12,6,0,2,1,0,0,0
2007-04-13,7,1,0,0,0,0,0
2007-04-14,2,1,0,0,0,0,0
2007-04-15,0,3,1,1,0,0,1
2007-04-16,2,2,0,1,0,0,0
2007-04-17,2,2,0,1,0,0,0
2007-04-18,2,5,0,0,0,0,0
2007-04-19,1,2,1,0,0,1,0
2007-04-20,4,4,0,0,1,0,0
2007-04-21,3,0,0,1,0,0,0
2007-04-22,2,4,0,0,0,0,0
2007-04-23,4,3,1,0,0,0,2
2007-04-24,4,2,2,0,1,1,0
2007-04-25,2,2,0,0,0,0,0
2007-04-26,2,0,0,0,1,0,1
2007-04-27,1,0,1,0,0,1,0
2007-04-28,0,1,0,0,1,0,0
2007-04-29,3,0,0,0,0,0,0
2007-04-30,3,1,0,0,2,0,0
2007-05-01,3,1,0,1,1,0,0
2007-05-02,3,1,0,0,0,0,0
2007-05-03,3,0,0,1,0,0,0
2007-05-04,4,1,0,0,0,0,0
2007-05-05,1,1,1,1,0,0,0
2007-05-06,1,1,0,1,0,0,0
2007-05-07,4,0,4,0,1,0,0
2007-05-08,4,0,0,0,0,1,0
2007-05-09,7,2,0,3,0,0,1
2007-05-10,3,1,0,3,1,0,0
2007-05-11,2,0,0,1,0,0,0
2007-05-12,3,0,0,0,1,0,0
2007-05-13,15,2,0,1,0,0,0
2007-05-14,9,0,0,1,0,0,1
2007-05-15,9,1,0,0,0,0,0
2007-05-16,4,0,0,1,0,0,0
2007-05-17,6,0,10,0,1,0,0
2007-05-18,6,0,12,1,0,0,0
2007-05-19,7,1,8,0,0,0,0
2007-05-20,2,0,8,0,0,0,0
2007-05-21,0,1,0,0,0,0,0
2007-05-22,2,1,2,0,0,0,0
2007-05-23,1,2,1,0,0,0,0
2007-05-24,5,2,4,1,1,0,0
2007-05-25,4,2,1,0,0,0,0
2007-05-26,1,1,1,0,0,0,0
2007-05-27,2,0,0,1,0,0,0
2007-05-28,5,2,0,1,1,0,0
2007-05-29,2,0,2,0,0,0,0
2007-05-30,4,2,4,1,0,1,0
2007-05-31,5,0,2,2,0,0,0
2007-06-01,1,1,1,0,0,0,0
2007-06-02,2,0,4,0,0,0,0
2007-06-03,4,0,0,2,0,0,0
2007-06-04,3,1,0,1,1,0,0
2007-06-05,5,0,2,0,0,0,0
2007-06-06,2,0,0,1,4,0,0
2007-06-07,0,1,0,0,0,0,0
2007-06-08,3,4,2,0,0,0,0
2007-06-09,0,1,0,1,1,0,0
2007-06-10,1,0,0,0,0,0,0
2007-06-11,0,0,0,1,0,0,0
2007-06-12,2,0,2,0,0,0,0
2007-06-13,2,2,0,0,1,0,0
2007-06-14,1,0,2,0,1,1,0
2007-06-15,0,1,0,0,0,0,0
2007-06-16,0,0,1,1,1,0,0
2007-06-17,3,0,1,0,0,0,0
2007-06-18,4,1,0,1,0,0,1
2007-06-19,3,0,0,1,0,0,1
2007-06-20,4,1,0,0,0,0,0
2007-06-21,1,2,0,0,0,0,0
2007-06-22,4,1,0,1,0,0,0
2007-06-23,4,1,0,1,0,0,0
2007-06-24,3,0,1,3,0,0,0
2007-06-25,3,0,4,1,0,0,1
2007-06-26,9,0,1,1,0,1,0
2007-06-27,7,2,4,6,1,0,0
2007-06-28,8,1,1,0,1,0,1
2007-06-29,6,2,0,1,0,0,0
2007-06-30,0,2,0,0,0,0,0
2007-07-01,6,1,1,7,0,0,0
2007-07-02,4,0,0,1,0,0,0
2007-07-03,3,0,0,1,0,0,0
2007-07-04,2,0,0,0,0,0,1
2007-07-05,2,0,1,0,0,0,1
2007-07-06,3,0,0,1,0,0,0
2007-07-07,1,1,0,1,0,0,0
2007-07-08,7,0,3,0,0,0,0
2007-07-09,6,1,0,0,1,0,0
2007-07-10,1,3,0,2,0,0,0
2007-07-11,2,2,0,1,0,0,3
2007-07-12,7,0,1,0,1,0,1
2007-07-13,4,0,0,0,0,0,0
2007-07-14,4,0,1,0,0,0,0
2007-07-15,9,0,1,2,0,0,0
2007-07-16,2,1,0,1,0,0,0
2007-07-17,1,1,0,0,2,0,0
2007-07-18,4,1,1,1,0,0,0
2007-07-19,5,0,0,0,0,1,0
2007-07-20,1,0,0,1,0,0,0
2007-07-21,1,2,3,0,0,0,0
2007-07-22,4,2,0,3,0,0,0
2007-07-23,3,2,2,1,0,0,0
2007-07-24,5,0,1,0,1,0,0
2007-07-25,2,0,0,0,0,0,0
2007-07-26,5,1,0,0,0,0,0
2007-07-27,1,0,0,1,0,0,0
2007-07-28,3,1,1,0,1,0,0
2007-07-29,3,0,0,1,0,0,0
2007-07-30,7,1,0,0,3,0,0
2007-07-31,5,0,1,1,2,0,0
2007-08-01,2,0,0,0,0,0,0
2007-08-02,7,5,0,0,1,0,0
2007-08-03,4,2,0,0,1,0,0
2007-08-04,3,4,0,0,0,0,0
2007-08-05,0,1,0,0,0,0,0
2007-08-06,2,0,0,2,0,0,0
2007-08-07,6,2,0,1,1,0,0
2007-08-08,3,2,1,1,0,0,0
2007-08-09,5,2,2,0,0,0,0
2007-08-10,5,1,0,0,1,0,0
2007-08-11,4,2,0,1,0,0,0
2007-08-12,3,0,3,0,0,1,0
2007-08-13,1,3,6,0,0,0,0
2007-08-14,3,0,7,0,0,0,0
2007-08-15,3,0,11,2,0,0,0
2007-08-16,5,8,10,0,0,0,0
2007-08-17,4,1,0,0,0,0,0
2007-08-18,4,1,2,0,0,0,0
2007-08-19,2,2,2,1,0,3,0
2007-08-20,5,2,0,0,2,0,0
2007-08-21,1,3,0,1,0,0,0
2007-08-22,4,0,1,0,1,0,0
2007-08-23,4,1,0,1,0,0,0
2007-08-24,1,0,1,0,0,0,0
2007-08-25,1,1,0,0,0,0,0
2007-08-26,2,2,0,0,1,0,0
2007-08-27,2,7,0,1,0,0,0
2007-08-28,2,1,2,0,0,0,0
2007-08-29,4,5,1,0,0,0,0
2007-08-30,2,2,0,1,0,2,0
2007-08-31,4,2,2,0,2,0,0
2007-09-01,6,2,1,1,0,1,0
2007-09-02,1,1,0,0,0,1,0
2007-09-03,5,2,0,0,0,2,0
2007-09-04,3,1,0,0,0,0,0
2007-09-05,4,0,1,0,0,0,0
2007-09-06,2,1,1,0,0,0,0
2007-09-07,6,0,1,0,0,0,0
2007-09-08,2,1,0,2,1,0,0
2007-09-09,1,0,1,0,0,0,0
2007-09-10,3,0,0,0,0,0,0
2007-09-11,2,1,1,1,0,0,0
2007-09-12,4,0,0,1,0,0,0
2007-09-13,3,1,1,1,1,0,2
2007-09-14,1,2,0,0,0,0,0
2007-09-15,1,2,0,0,0,0,0
2007-09-16,4,1,1,0,0,0,0
2007-09-17,6,7,1,1,2,0,0
2007-09-18,1,3,0,0,1,0,0
2007-09-19,2,1,0,0,0,0,0
2007-09-20,4,2,2,0,0,0,0
2007-09-21,3,0,0,0,1,0,0
2007-09-22,4,1,0,1,0,0,0
2007-09-23,1,2,0,0,1,0,1
2007-09-24,2,2,1,0,0,1,0
2007-09-25,4,4,0,0,0,1,0
2007-09-26,3,5,2,0,1,0,0
2007-09-27,4,0,1,0,0,0,0
2007-09-28,2,3,0,0,1,0,0
2007-09-29,2,1,2,0,1,0,0
2007-09-30,2,0,0,0,0,0,0
2007-10-01,1,3,0,0,1,0,0
2007-10-02,2,0,0,1,0,0,0
2007-10-03,4,0,0,0,1,0,0
2007-10-04,3,2,0,1,0,0,0
2007-10-05,2,2,1,0,0,0,0
2007-10-06,2,1,0,0,0,0,0
2007-10-07,1,1,0,2,0,0,0
2007-10-08,5,4,0,0,1,0,0
2007-10-09,2,1,1,1,0,0,0
2007-10-10,2,2,1,0,0,0,0
2007-10-11,6,1,0,0,0,0,1
2007-10-12,5,1,1,0,0,0,0
2007-10-13,1,2,0,0,0,0,0
2007-10-14,3,0,0,0,1,0,0
2007-10-15,2,0,0,0,0,0,0
2007-10-16,5,0,0,0,0,0,0
2007-10-17,1,1,2,0,0,0,0
2007-10-18,0,1,1,0,0,0,0
2007-10-19,3,0,1,0,0,0,0
2007-10-20,2,0,0,0,0,0,0
2007-10-21,5,1,2,2,0,0,0
2007-10-22,3,0,0,0,1,0,0
2007-10-23,3,0,0,0,0,0,0
2007-10-24,3,1,1,1,1,1,0
2007-10-25,1,3,1,1,0,0,0
2007-10-26,1,1,1,0,1,1,0
2007-10-27,2,0,3,0,0,0,0
2007-10-28,6,2,2,1,0,0,0
2007-10-29,3,1,2,0,0,1,0
2007-10-30,6,4,1,1,0,1,1
2007-10-31,2,0,1,3,1,0,0
2007-11-01,3,10,1,0,0,4,1
2007-11-02,2,8,1,0,0,1,0
2007-11-03,0,2,1,0,0,0,0
2007-11-04,3,2,1,0,1,0,0
2007-11-05,3,2,2,0,0,0,0
2007-11-06,3,0,0,1,0,0,0
2007-11-07,3,0,2,0,1,0,0
2007-11-08,2,3,2,0,0,1,0
2007-11-09,4,2,0,0,1,1,0
2007-11-10,2,4,0,1,0,1,0
2007-11-11,2,4,2,0,0,1,0
2007-11-12,3,2,2,0,0,1,0
2007-11-13,2,4,4,0,1,0,0
2007-11-14,4,5,3,2,2,0,0
2007-11-15,1,0,2,0,0,0,0
2007-11-16,2,1,5,1,0,0,2
2007-11-17,2,0,0,1,0,1,0
2007-11-18,4,1,2,1,0,1,0
2007-11-19,6,1,3,0,2,0,0
2007-11-20,5,1,2,1,0,0,0
2007-11-21,4,1,2,0,0,0,1
2007-11-22,6,1,3,0,0,0,1
2007-11-23,1,1,0,1,0,0,0
2007-11-24,1,2,2,0,0,0,0
2007-11-25,2,1,5,0,0,1,0
2007-11-26,3,2,2,0,0,0,0
2007-11-27,4,0,1,0,0,0,0
2007-11-28,2,2,0,0,0,0,0
2007-11-29,5,2,3,1,0,0,0
2007-11-30,4,2,1,0,0,1,0
2007-12-01,3,1,1,0,0,0,0
2007-12-02,4,2,3,1,0,0,0
2007-12-03,3,1,0,0,0,1,1
2007-12-04,2,0,0,0,0,0,0
2007-12-05,8,0,0,0,0,0,0
2007-12-06,3,0,1,1,0,0,1
2007-12-07,1,0,2,0,0,1,0
2007-12-08,3,0,0,0,0,1,0
2007-12-09,5,1,0,1,0,0,0
2007-12-10,5,2,1,0,1,0,0
2007-12-11,3,0,1,1,0,0,0
2007-12-12,3,1,2,0,1,1,0
2007-12-13,5,3,3,0,1,0,0
